Period,Sex,Age,Count
2018,Male,"100 and over",48
2018,Female,Infant,105
2018,Female,1–4,27
2018,Female,5–9,12
2018,Female,10–14,24
2018,Female,15–19,42
2018,Female,20–24,54
2018,Female,25–29,69
2018,Female,30–34,81
2018,Female,35–39,111
2018,Female,40–44,144
2018,Female,45–49,240
2018,Female,50–54,396
2018,Female,55–59,585
2018,Female,60–64,753
2018,Female,65–69,1017
2018,Female,70–74,1356
2018,Female,75–79,1752
2018,Female,80–84,2265
2018,Female,85–89,2961
2018,Female,90–94,2784
2018,Female,95–99,1197
2018,Female,"100 and over",261
2019,Male,Infant,144
2019,Male,1–4,30
2019,Male,5–9,15
2019,Male,10–14,30
2019,Male,15–19,87
2019,Male,20–24,150
2019,Male,25–29,153
2019,Male,30–34,174
2019,Male,35–39,183
2019,Male,40–44,207
2019,Male,45–49,366
2019,Male,50–54,588
2019,Male,55–59,867
2019,Male,60–64,1062
2019,Male,65–69,1452
2019,Male,70–74,1974
2019,Male,75–79,2337
2019,Male,80–84,2565
2019,Male,85–89,2805
2019,Male,90–94,1785
2019,Male,95–99,552
2019,Male,"100 and over",54
2019,Female,Infant,126
2019,Female,1–4,24
2019,Female,5–9,12
2019,Female,10–14,24
2019,Female,15–19,45
2019,Female,20–24,54
2019,Female,25–29,60
2019,Female,30–34,87
2019,Female,35–39,84
2019,Female,40–44,159
2019,Female,45–49,282
2019,Female,50–54,399
2019,Female,55–59,564
2019,Female,60–64,756
2019,Female,65–69,1017
2019,Female,70–74,1395
2019,Female,75–79,1773
2019,Female,80–84,2316
2019,Female,85–89,3084
2019,Female,90–94,2814
2019,Female,95–99,1338
2019,Female,"100 and over",267
2020,Male,Infant,132
2020,Male,1–4,18
2020,Male,5–9,21
2020,Male,10–14,27
2020,Male,15–19,78
2020,Male,20–24,111
2020,Male,25–29,141
2020,Male,30–34,129
2020,Male,35–39,159
2020,Male,40–44,219
2020,Male,45–49,369
2020,Male,50–54,525
2020,Male,55–59,768
2020,Male,60–64,1071
2020,Male,65–69,1404
2020,Male,70–74,1905
2020,Male,75–79,2331
2020,Male,80–84,2589
2020,Male,85–89,2523
2020,Male,90–94,1770
2020,Male,95–99,537
2020,Male,"100 and over",72
2020,Female,Infant,93
2020,Female,1–4,18
2020,Female,5–9,3
2020,Female,10–14,18
2020,Female,15–19,48
2020,Female,20–24,60
2020,Female,25–29,63
2020,Female,30–34,72
2020,Female,35–39,99
2020,Female,40–44,135
2020,Female,45–49,228
2020,Female,50–54,393
2020,Female,55–59,624
2020,Female,60–64,735
2020,Female,65–69,1011
2020,Female,70–74,1362
2020,Female,75–79,1686
2020,Female,80–84,2244
2020,Female,85–89,2760
2020,Female,90–94,2541
2020,Female,95–99,1263
2020,Female,"100 and over",249
2021,Male,Infant,165
2021,Male,1–4,15
2021,Male,5–9,12
2021,Male,10–14,24
2021,Male,15–19,81
2021,Male,20–24,123
2021,Male,25–29,132
2021,Male,30–34,177
2021,Male,35–39,177
2021,Male,40–44,234
2021,Male,45–49,321
2021,Male,50–54,570
2021,Male,55–59,831
2021,Male,60–64,1092
2021,Male,65–69,1479
2021,Male,70–74,2004
2021,Male,75–79,2373
2021,Male,80–84,2769
2021,Male,85–89,2757
2021,Male,90–94,1935
2021,Male,95–99,651
2021,Male,"100 and over",84
2021,Female,Infant,108
2021,Female,1–4,30
2021,Female,5–9,12
2021,Female,10–14,21
2021,Female,15–19,51
2021,Female,20–24,54
2021,Female,25–29,60
2021,Female,30–34,63
2021,Female,35–39,105
2021,Female,40–44,153
2021,Female,45–49,222
2021,Female,50–54,399
2021,Female,55–59,567
2021,Female,60–64,828
2021,Female,65–69,1011
2021,Female,70–74,1479
2021,Female,75–79,1830
2021,Female,80–84,2550
2021,Female,85–89,2901
2021,Female,90–94,2835
2021,Female,95–99,1383
2021,Female,"100 and over",264
